userId,timestamp,review,item,rating,helpfulness,gender,category,item_id,item_price,user_city
4074,52400,Great,Alta Vista (by 1stUp),4.0,3.0,M,Online Stores & Services,2,46.63,34
4075,82305,Nothing Special in the Air,American Airlines,3.0,4.0,F,Hotels & Travel,4,61.0,22
4125,11100,Simply The Best,Southwest Airlines,5.0,3.0,F,Hotels & Travel,69,108.69,11
4133,30500,American Beauty,American Beauty,5.0,4.0,F,Movies,5,59.0,38
4133,31000,Fight Club,Fight Club,5.0,4.0,F,Movies,26,97.53,38
4133,31100,Being John Malkovich,Being John Malkovich,5.0,4.0,F,Movies,11,52.0,38
4133,51300,Gladiator,Gladiator,4.0,4.0,F,Movies,30,65.17,38
4133,122400,Cast Away,Cast Away,3.0,4.0,F,Movies,17,126.5,38
4139,92901,Still the best,Sony PlayStation 2 Slimline Console,5.0,0.0,F,Games,67,71.52,31
4140,41200,Scream 3,Scream 3,4.0,0.0,F,Movies,61,32.0,32
49,11600,AO Hell!,AOL (America Online),2.0,4.0,F,Online Stores & Services,0,145.84,9
4167,121500,Toy Story 2,Toy Story 2,5.0,3.0,M,Movies,80,143.01,37
4,53100,Not too bad,AOL (America Online),5.0,3.0,M,Online Stores & Services,0,145.84,35
56,122899,Green Mile,Green Mile,5.0,4.0,M,Movies,33,140.0,31
4195,111799,Don't believe the hype,Blair Witch Project,2.0,0.0,M,Movies,12,44.0,0
73,90199,The Sixth Sense,Sixth Sense,5.0,3.0,F,Movies,65,41.16,11
4228,61700,American Ugly,American Beauty,5.0,4.0,F,Movies,5,59.0,36
84,41000,Excellent,Blue Mountain Arts eCards,4.0,3.0,F,Online Stores & Services,13,91.29,38
4250,122101,Don't Waste Your Money,Playtex Diaper Genie System,1.0,3.0,M,Kids & Family,55,12.0,36
4278,61400,Diablo 2,Diablo 2 - Bestseller Series for Windows,5.0,4.0,F,Games,21,52.51,23
4280,12600,X-cellent,X.com,5.0,4.0,M,Personal Finance,87,93.55,7
4281,20700,Easy Money,All Advantage,4.0,0.0,M,Online Stores & Services,1,23.08,17
4289,70202,Dogma,Dogma,3.0,0.0,F,Movies,22,87.59,11
100,111300,Not just for kids!,J. K. Rowling - Harry Potter and the Sorcerer's Stone,5.0,3.0,M,Books,36,96.0,10
4299,41100,Two Thumbs Up!,Sixth Sense,5.0,0.0,M,Movies,65,41.16,22
4320,50300,Not all it's cracked up to be,All Advantage,1.0,0.0,M,Online Stores & Services,1,23.08,8
4327,20400,Good Value,Luvs Ultra Leakguards Stretch,4.0,4.0,F,Kids & Family,38,104.94,20
4329,102009,Quicken Loans,Quicken Loans,5.0,3.0,F,Personal Finance,57,36.0,4
112,122299,Better than the original,Austin Powers: The Spy Who Shagged Me,4.0,4.0,M,Movies,9,111.0,12
115,20700,Scream 3,Scream 3,3.0,4.0,M,Movies,61,32.0,2
115,112899,Sleepy Hollow,Sleepy Hollow,4.0,0.0,M,Movies,66,62.0,2
4373,11900,Awesome!,The Legend Of Zelda Ocarina Of Time for Nintendo 64,5.0,4.0,M,Games,77,59.0,24
4373,12000,No Advantage,All Advantage,2.0,0.0,M,Online Stores & Services,1,23.08,24
129,62400,Mission Improbable,Mission: Impossible II,4.0,4.0,F,Movies,42,144.28,36
4407,81101,I love this game!,Roller Coaster Tycoon For Windows,5.0,0.0,M,Games,59,90.83,12
4411,21800,American Beauty,American Beauty,5.0,3.0,M,Movies,5,59.0,4
4418,100500,Diablo 2,Diablo 2 - Bestseller Series for Windows,5.0,4.0,M,Games,21,52.51,15
4432,120599,Sleepy Hollow,Sleepy Hollow,3.0,3.0,F,Movies,66,62.0,31
4439,122201,Blair Witch Project,Blair Witch Project,4.0,0.0,F,Movies,12,44.0,12
146,21600,The Good and the Bad,AOL (America Online),3.0,0.0,F,Online Stores & Services,0,145.84,7
146,21801,What Lies Beneath,What Lies Beneath,3.0,4.0,F,Movies,85,145.0,7
4445,61900,The Simpsons,"Simpsons, The",4.0,3.0,M,Kids & Family,64,40.0,9
4445,61900,The Sixth Sense,Sixth Sense,5.0,3.0,M,Movies,65,41.16,9
4445,70800,Sleepy Hollow,Sleepy Hollow,4.0,3.0,M,Movies,66,62.0,9
4445,72000,X-Men,X-Men,4.0,0.0,M,Movies,86,66.39,9
4445,72000,Scary Movie,Scary Movie,3.0,0.0,M,Movies,60,53.0,9
17,70800,Good Movie,American Beauty,4.0,3.0,F,Movies,5,59.0,22
166,101101,What Lies Beneath,What Lies Beneath,4.0,4.0,M,Movies,85,145.0,24
4477,11710,Teletubbies,Teletubbies,3.0,3.0,M,Kids & Family,76,48.25,21
4485,53100,The Best!,Wendy's,5.0,0.0,F,Restaurants & Gourmet,84,69.0,14
4505,121399,Better than the Original,Austin Powers: The Spy Who Shagged Me,4.0,4.0,F,Movies,9,111.0,11
177,11000,MUST SEE,Toy Story 2,5.0,3.0,M,Movies,80,143.01,24
196,22400,Why do I stay?,Bank of America,1.0,0.0,M,Personal Finance,10,59.21,22
4531,12001,Flying the friendly skies - Priceline Style,Priceline Flight Reservations,5.0,4.0,M,Online Stores & Services,56,15.42,33
4531,12001,Flying the friendly skies - Priceline Style,Priceline Flight Reservations,5.0,3.0,M,Online Stores & Services,56,15.42,33
4540,11500,Good Movie,Sleepy Hollow,4.0,0.0,F,Movies,66,62.0,4
4550,51200,Two Thumbs Up!,Priceline Flight Reservations,5.0,4.0,M,Online Stores & Services,56,15.42,36
206,70300,Impossible Mission,Mission: Impossible II,2.0,0.0,F,Movies,42,144.28,21
4565,51401,By far the best,Outback Steakhouse,5.0,3.0,F,Restaurants & Gourmet,50,25.0,35
4573,70200,The Best Game Ever,Roller Coaster Tycoon For Windows,5.0,0.0,F,Games,59,90.83,30
216,62500,Spectacular!,Gladiator,5.0,0.0,M,Movies,30,65.17,8
4581,22400,Being John Malkovich,Being John Malkovich,4.0,0.0,M,Movies,11,52.0,19
4587,30900,Bad Service,Olive Garden,1.0,4.0,M,Restaurants & Gourmet,49,32.0,2
4587,30900,Great Game,Roller Coaster Tycoon For Windows,4.0,4.0,M,Games,59,90.83,2
4587,30900,AOHell,AOL (America Online),1.0,3.0,M,Online Stores & Services,0,145.84,2
4598,122700,How the Grinch Stole My Money,How the Grinch Stole Christmas,1.0,4.0,F,Movies,34,65.0,22
220,61900,Final Fantasy VIII,Final Fantasy VIII for PlayStation 1,5.0,4.0,M,Games,27,136.05,18
221,121100,American Ugly,American Beauty,5.0,0.0,F,Movies,5,59.0,14
4610,71000,The Imperfect Storm,Perfect Storm,2.0,0.0,M,Movies,54,129.87,5
225,120800,The Grinch,How the Grinch Stole Christmas,3.0,4.0,F,Movies,34,65.0,34
4626,60801,Shrek!,Shrek,4.0,4.0,F,Movies,63,75.14,32
227,122399,Austin Powers Does it Again,Austin Powers: The Spy Who Shagged Me,5.0,4.0,M,Movies,9,111.0,11
4645,21400,Hey Howdy Hey!!!,Toy Story 2,5.0,3.0,M,Movies,80,143.01,32
4645,21400,Hey Howdy Hey!!!,Toy Story 2,5.0,4.0,M,Movies,80,143.01,32
4649,42200,One of the best!,MyPoints.com,4.0,0.0,M,Online Stores & Services,43,72.0,18
4650,10200,Matrix,Matrix,5.0,4.0,M,Movies,40,24.51,24
4654,41900,An Original by arrogance,All Advantage,5.0,4.0,M,Online Stores & Services,1,23.08,24
4654,42000,An Original by arrogance,MyPoints.com,5.0,4.0,M,Online Stores & Services,43,72.0,24
4654,42300,An Original by arrogance,FreeRide.com,5.0,4.0,M,Online Stores & Services,28,147.0,24
4676,71601,"Bond, James Bond",Golden Eye 007 for Nintendo 64,4.0,0.0,M,Games,31,83.48,14
245,71500,Dogma is no dog,Dogma,5.0,4.0,F,Movies,22,87.59,7
4689,11604,Circus Circus,Las Vegas,5.0,3.0,F,Hotels & Travel,37,35.31,11
4700,112300,Unbelievable,Unbreakable,5.0,4.0,F,Movies,82,51.13,2
256,41000,The Sims,The Sims 2: Open for Business for Windows,5.0,4.0,M,Games,79,27.0,23
4718,92800,The Perfect Storm,Perfect Storm,4.0,3.0,F,Movies,54,129.87,39
260,60900,Absolutely Intriguing Film,Gladiator,5.0,4.0,M,Movies,30,65.17,36
260,61100,Absolutely Intriguing Film,Gladiator,5.0,0.0,M,Movies,30,65.17,36
261,120700,You get what you pay for,Delta Air Lines,3.0,4.0,M,Hotels & Travel,20,116.0,19
4731,110899,Being John Malkovich,Being John Malkovich,5.0,4.0,M,Movies,11,52.0,10
4731,111399,Dogma,Dogma,5.0,4.0,M,Movies,22,87.59,10
4731,112899,Toy Story 2,Toy Story 2,5.0,4.0,M,Movies,80,143.01,10
4731,121199,The Green Mile,Green Mile,5.0,4.0,M,Movies,33,140.0,10
4756,20801,A MUST SEE MOVIE,Cast Away,4.0,3.0,M,Movies,17,126.5,24
4757,121899,I love it!,MyPoints.com,5.0,4.0,F,Online Stores & Services,43,72.0,32
4755,71600,Never again,AOL (America Online),2.0,4.0,M,Online Stores & Services,0,145.84,39
4768,13100,I feel used...,All Advantage,3.0,0.0,F,Online Stores & Services,1,23.08,37
4769,120399,You get what you pay for,Alta Vista (by 1stUp),1.0,0.0,F,Online Stores & Services,2,46.63,19
4773,30204,Family Favorite,Outback Steakhouse,5.0,0.0,M,Restaurants & Gourmet,50,25.0,9
280,42000,Watch Out!,Roller Coaster Tycoon For Windows,5.0,4.0,M,Games,59,90.83,16
281,120200,Fantastic!,Gladiator,5.0,3.0,M,Movies,30,65.17,18
4830,70100,FANTASTIC,Green Mile,5.0,0.0,F,Movies,33,140.0,32
4832,10801,Diablo 2,Diablo 2 - Bestseller Series for Windows,5.0,3.0,F,Games,21,52.51,13
4843,10900,Flying High,Southwest Airlines,5.0,0.0,F,Hotels & Travel,69,108.69,38
4853,80699,The Blair Witch Project,Blair Witch Project,3.0,4.0,M,Movies,12,44.0,39
4861,82401,I love Amazon,Amazon.com,5.0,0.0,M,Online Stores & Services,3,129.82,31
367,20200,The Best,AOL (America Online),5.0,4.0,M,Online Stores & Services,0,145.84,7
4867,41700,American Beauty?,American Beauty,1.0,0.0,F,Movies,5,59.0,12
