userId,timestamp,review,item,rating,helpfulness,gender,category,item_id,item_price,user_city
115,20700,Scream 3,Scream 3,3.0,4.0,M,Movies,61,32.0,2
4411,21800,American Beauty,American Beauty,5.0,3.0,M,Movies,5,59.0,4
4418,100500,Diablo 2,Diablo 2 - Bestseller Series for Windows,5.0,4.0,M,Games,21,52.51,15
4432,120599,Sleepy Hollow,Sleepy Hollow,3.0,3.0,F,Movies,66,62.0,31
4445,61900,The Sixth Sense,Sixth Sense,5.0,3.0,M,Movies,65,41.16,9
4445,70800,Sleepy Hollow,Sleepy Hollow,4.0,3.0,M,Movies,66,62.0,9
166,101101,What Lies Beneath,What Lies Beneath,4.0,4.0,M,Movies,85,145.0,24
4531,12001,Flying the friendly skies - Priceline Style,Priceline Flight Reservations,5.0,3.0,M,Online Stores & Services,56,15.42,33
4540,11500,Good Movie,Sleepy Hollow,4.0,0.0,F,Movies,66,62.0,4
4550,51200,Two Thumbs Up!,Priceline Flight Reservations,5.0,4.0,M,Online Stores & Services,56,15.42,36
4581,22400,Being John Malkovich,Being John Malkovich,4.0,0.0,M,Movies,11,52.0,19
221,121100,American Ugly,American Beauty,5.0,0.0,F,Movies,5,59.0,14
4645,21400,Hey Howdy Hey!!!,Toy Story 2,5.0,4.0,M,Movies,80,143.01,32
4654,42000,An Original by arrogance,MyPoints.com,5.0,4.0,M,Online Stores & Services,43,72.0,24
4654,42300,An Original by arrogance,FreeRide.com,5.0,4.0,M,Online Stores & Services,28,147.0,24
260,61100,Absolutely Intriguing Film,Gladiator,5.0,0.0,M,Movies,30,65.17,36
4731,110899,Being John Malkovich,Being John Malkovich,5.0,4.0,M,Movies,11,52.0,10
4731,111399,Dogma,Dogma,5.0,4.0,M,Movies,22,87.59,10
4731,112899,Toy Story 2,Toy Story 2,5.0,4.0,M,Movies,80,143.01,10
4769,120399,You get what you pay for,Alta Vista (by 1stUp),1.0,0.0,F,Online Stores & Services,2,46.63,19
4832,10801,Diablo 2,Diablo 2 - Bestseller Series for Windows,5.0,3.0,F,Games,21,52.51,13
378,110999,Being John Malkovich,Being John Malkovich,5.0,4.0,F,Movies,11,52.0,24
398,60700,Dogma,Dogma,5.0,0.0,F,Movies,22,87.59,9
309,10700,A MUST SEE,Green Mile,5.0,0.0,M,Movies,33,140.0,31
4945,20800,Scream 3,Scream 3,4.0,4.0,F,Movies,61,32.0,4
5062,11400,Nothing Special in the Air,American Airlines,1.0,4.0,M,Hotels & Travel,4,61.0,35
455,22600,The Blair Witch Project,Blair Witch Project,1.0,4.0,M,Movies,12,44.0,31
472,62100,Better than the original,Diablo 2 - Bestseller Series for Windows,5.0,3.0,M,Games,21,52.51,28
